ProductID,PreservationMethod,FoodType,NutrientRetention,ShelfLife
1,Drying,Fruit,59.17,184.04
2,Freezing,Meat,72.29,104.46
3,Drying,Fruit,80.06,75.03
4,Canning,Fruit,98.50,103.34
5,Canning,Vegetable,59.09,97.46
6,Canning,Vegetable,50.35,63.27
7,Drying,Meat,69.99,91.99
8,Drying,Vegetable,54.53,148.05
9,Drying,Fruit,52.32,140.67
0,Freezing,Fruit,53.25,187.70
1,Canning,Vegetable,69.27,85.83
2,Canning,Meat,84.16,71.45
3,Drying,Meat,95.47,50.87
4,Canning,Vegetable,76.00,60.20
5,Canning,Fruit,98.48,98.24
6,Canning,Vegetable,94.74,79.40
7,Drying,Vegetable,59.80,78.39
8,Freezing,Fruit,63.57,205.35
9,Canning,Fruit,64.05,162.01
0,Freezing,Fruit,90.11,33.08
1,Drying,Fruit,88.61,42.43
2,Drying,Meat,59.94,176.40
3,Drying,Fruit,80.30,91.03
4,Canning,Fruit,95.75,101.97
5,Canning,Fruit,53.18,104.33
6,Freezing,Meat,79.56,43.54
7,Drying,Fruit,69.15,247.59
8,Drying,Fruit,86.09,44.11
9,Canning,Meat,52.02,153.00
0,Canning,Vegetable,71.97,121.93
1,Drying,Fruit,65.72,160.75
2,Canning,Fruit,62.46,137.76
3,Drying,Fruit,61.44,85.32
4,Drying,Meat,58.06,201.92
5,Freezing,Vegetable,81.67,88.56
6,Canning,Vegetable,76.97,79.02
7,Freezing,Meat,95.34,51.95
8,Drying,Vegetable,50.03,103.24
9,Drying,Meat,58.23,146.08
0,Canning,Fruit,84.62,45.90
1,Drying,Meat,66.16,163.48
2,Freezing,Fruit,53.24,97.02
3,Canning,Meat,74.86,145.02
4,Freezing,Fruit,63.34,227.56
5,Canning,Meat,63.93,218.98
6,Drying,Vegetable,57.24,137.34
7,Canning,Meat,83.61,82.39
8,Drying,Fruit,86.41,54.53
9,Canning,Vegetable,69.94,223.83
0,Freezing,Fruit,66.04,109.42
1,Freezing,Meat,79.54,72.37
2,Drying,Vegetable,75.60,38.09
3,Drying,Fruit,84.55,54.79
4,Canning,Fruit,83.78,80.58
5,Canning,Meat,77.07,71.38
6,Drying,Vegetable,99.11,75.82
7,Freezing,Vegetable,99.81,116.67
8,Freezing,Fruit,94.13,44.23
9,Freezing,Meat,85.02,90.29
0,Canning,Fruit,82.10,30.85
1,Canning,Vegetable,50.46,73.10
2,Drying,Fruit,50.25,80.10
3,Canning,Vegetable,84.59,75.02
4,Freezing,Fruit,50.90,122.68
5,Drying,Meat,82.88,67.26
6,Drying,Meat,81.82,42.99
7,Canning,Vegetable,98.94,73.03
8,Drying,Meat,89.74,67.52
9,Drying,Fruit,59.76,177.49
0,Drying,Meat,88.43,30.00
1,Canning,Fruit,63.98,215.26
2,Freezing,Fruit,96.42,66.08
3,Freezing,Meat,98.18,104.83
4,Drying,Fruit,69.25,227.52
5,Drying,Vegetable,77.84,88.94
6,Canning,Meat,78.50,30.42
7,Drying,Vegetable,67.93,123.82
8,Canning,Vegetable,66.13,216.85
9,Freezing,Meat,85.45,68.15
0,Canning,Meat,70.99,129.75
1,Freezing,Vegetable,50.26,137.63
2,Freezing,Vegetable,89.79,98.86
3,Drying,Meat,68.78,98.37
4,Drying,Meat,51.80,121.24
5,Drying,Vegetable,64.33,170.31
6,Canning,Fruit,51.87,166.77
7,Canning,Meat,56.35,139.73
8,Freezing,Fruit,72.86,237.75
9,Canning,Meat,84.98,36.07
0,Freezing,Vegetable,75.82,44.78
1,Freezing,Meat,71.68,216.67
2,Canning,Fruit,59.22,82.79
3,Drying,Fruit,84.42,29.75
4,Canning,Fruit,72.12,128.91
5,Canning,Fruit,83.01,45.82
6,Freezing,Meat,82.86,57.34
7,Freezing,Meat,52.39,135.51
8,Drying,Fruit,56.01,114.12
9,Freezing,Meat,52.04,171.51
0,Freezing,Vegetable,88.17,90.48
1,Freezing,Vegetable,71.69,156.03
2,Canning,Vegetable,81.75,27.86
3,Drying,Vegetable,81.29,61.20
4,Freezing,Fruit,84.20,71.93
5,Drying,Vegetable,51.33,135.25
6,Drying,Vegetable,78.67,32.70
7,Freezing,Meat,91.03,78.59
8,Freezing,Fruit,82.57,40.13
9,Freezing,Fruit,60.73,129.01
0,Freezing,Meat,80.91,48.78
1,Canning,Fruit,92.24,29.61
2,Canning,Meat,64.09,95.47
3,Freezing,Vegetable,81.45,88.75
4,Freezing,Fruit,98.38,78.03
5,Freezing,Fruit,78.43,64.18
6,Drying,Vegetable,62.50,163.90
7,Drying,Vegetable,78.09,40.20
8,Drying,Fruit,87.00,44.75
9,Canning,Fruit,76.72,57.30
0,Freezing,Vegetable,64.88,93.75
1,Freezing,Fruit,92.36,57.21
2,Canning,Meat,97.53,79.59
3,Drying,Fruit,54.59,146.07
