,date,type,year,avg_price,size,nb_sold,small_sold,large_sold,extra_large_sold
52,2016-12-25,conventional,2016,1.0,small,9255125.2,9255125.2,,
53,2016-12-18,conventional,2016,0.96,small,9394065.91,9394065.91,,
54,2016-12-11,conventional,2016,0.98,small,9009996.11,9009996.11,,
55,2016-12-04,conventional,2016,1.0,small,11043350.9,11043350.9,,
56,2016-11-27,conventional,2016,1.21,small,7891487.94,7891487.94,,
57,2016-11-20,conventional,2016,1.27,small,8531160.52,8531160.52,,
58,2016-11-13,conventional,2016,1.36,small,8235135.43,8235135.43,,
59,2016-11-06,conventional,2016,1.44,small,7804252.91,7804252.91,,
60,2016-10-30,conventional,2016,1.43,small,7100458.82,7100458.82,,
61,2016-10-23,conventional,2016,1.34,small,7579629.06,7579629.06,,
62,2016-10-16,conventional,2016,1.3,small,8810664.45,8810664.45,,
63,2016-10-09,conventional,2016,1.27,small,9552502.48,9552502.48,,
64,2016-10-02,conventional,2016,1.23,small,9534915.56,9534915.56,,
65,2016-09-25,conventional,2016,1.22,small,10548061.13,10548061.13,,
66,2016-09-18,conventional,2016,1.15,small,11337829.1,11337829.1,,
67,2016-09-11,conventional,2016,1.08,small,12962762.94,12962762.94,,
68,2016-09-04,conventional,2016,1.04,small,14643465.52,14643465.52,,
69,2016-08-28,conventional,2016,1.09,small,12561055.5,12561055.5,,
70,2016-08-21,conventional,2016,1.1,small,12725249.3,12725249.3,,
71,2016-08-14,conventional,2016,1.12,small,12352932.68,12352932.68,,
72,2016-08-07,conventional,2016,1.15,small,12197105.36,12197105.36,,
73,2016-07-31,conventional,2016,1.23,small,10168972.37,10168972.37,,
74,2016-07-24,conventional,2016,1.2,small,10331314.28,10331314.28,,
75,2016-07-17,conventional,2016,1.15,small,10320463.27,10320463.27,,
76,2016-07-10,conventional,2016,1.1,small,11457080.38,11457080.38,,
77,2016-07-03,conventional,2016,1.06,small,12508937.27,12508937.27,,
78,2016-06-26,conventional,2016,1.04,small,12189035.17,12189035.17,,
79,2016-06-19,conventional,2016,1.02,small,13488851.61,13488851.61,,
80,2016-06-12,conventional,2016,1.04,small,12291686.69,12291686.69,,
81,2016-06-05,conventional,2016,0.97,small,13808859.16,13808859.16,,
82,2016-05-29,conventional,2016,0.94,small,13682611.21,13682611.21,,
83,2016-05-22,conventional,2016,0.93,small,11711999.81,11711999.81,,
